鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
板橋區,房地(土地+建物)+車位,新北市板橋區南雅東路1~30號,13.71,住,Missing,Missing,1090122,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960814,148.48,3,2,1,有,有,16460000,110857,坡道平面,29.53,0,含增建或未登記建物。;,RPWPMLLJMHPFFAF58CA
土城區,房地(土地+建物),新北市土城區學府路一段99巷1~30號,12.43,住,Missing,Missing,1090223,土地1建物1車位0,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841018,79.91,2,2,1,有,有,9200000,115130,Missing,0.0,0,含增建或未登記建物。;,RPXTMLRJMHPFFAF07CA
新店區,房地(土地+建物),新北市新店區安康路二段159巷1~30號,4.61,住,Missing,Missing,1090303,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0901031,47.72,1,1,1,有,有,5450000,114208,Missing,0.0,0,含增建或未登記建物。;,RPUNMLLJMHPFFCF38CA
新店區,房地(土地+建物),新北市新店區環河路31~60號,8.75,其他,Missing,Missing,1081215,土地2建物1車位0,九層,三十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,0880826,123.06,4,2,2,有,有,16100000,130830,Missing,0.0,0,Missing,RPPPMLSJMHPFFCF78CA
汐止區,房地(土地+建物)+車位,新北市汐止區茄苳路181~210號,25.29,住,Missing,Missing,1090219,土地1建物1車位2,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891021,153.14,3,2,2,有,有,10000000,68941,坡道平面,41.45,2300000,親友、員工或其他特殊關係間之交易。;,RPXOMLRKMHPFFDF96CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市五路三段271~300號,8.22,商,Missing,Missing,1090309,土地1建物1車位1,十三層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061229,121.65,1,2,1,有,有,7500000,61652,坡道平面,30.84,0,Missing,RPVPMLKKMHPFFEF88CA
淡水區,房地(土地+建物)+車位,新北市淡水區新春街121~150號,29.25,住,Missing,Missing,1090310,土地2建物1車位1,十七層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030423,195.76,4,2,2,有,有,14600000,74581,坡道平面,24.23,0,露臺,RPWNMLRJMHPFFEF76CA
淡水區,房地(土地+建物)+車位,新北市淡水區淡金路1~30號,7.11,商,Missing,Missing,1090302,土地1建物1車位1,二十三層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970909,137.25,2,2,1,有,有,10600000,77226,坡道平面,20.18,0,陽台外推,RPSPMLQJMHPFFEF09CA
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路一段306巷1~30號,18.01,住,Missing,Missing,1090301,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031203,128.4,2,1,1,有,有,8450000,65810,坡道平面,36.08,0,Missing,RPWQMLLMLHPFFEF66CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段126巷91~120號,25.04,住,Missing,Missing,1081205,土地1建物1車位1,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060824,193.36,3,2,2,有,有,13500000,73133,坡道平面,26.54,1300000,Missing,RPQOMLLJMHPFFEF28CA
蘆洲區,房地(土地+建物)+車位,新北市蘆洲區長榮路151~180號,24.04,商,Missing,Missing,1090220,土地1建物1車位2,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971113,235.83999999999997,4,2,2,有,有,23880000,101255,坡道平面,47.32,0,含增建或未登記建物。;,RPRNMLLJMHPFFGF48CA
三重區,房地(土地+建物),新北市三重區重新路一段121~150號,4.87,其他,Missing,Missing,1090318,土地1建物1車位0,五層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011220,89.55000000000001,2,2,1,有,有,12370000,138135,Missing,0.0,0,向政府機關承購之案件。;,RPOPMLOKMHPFFGF78CA
中和區,房地(土地+建物),新北市中和區中正路751~780號,9.54,住,Missing,Missing,1090225,土地1建物1車位0,十八層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850919,134.15,3,2,2,有,有,11100000,82743,Missing,0.0,0,Missing,RPOOMLLMLHPFFHF58CA
永和區,房地(土地+建物)+車位,新北市永和區秀朗路一段61~90號,21.6,住,Missing,Missing,1090226,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851018,135.68,3,2,2,有,有,18400000,135613,坡道平面,0.0,0,Missing,RPUPMLLJMHPFFHF09CA
三峽區,房地(土地+建物)+車位,新北市三峽區大學路31~60號,11.39,住,Missing,Missing,1090227,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941017,107.44,2,2,1,有,有,8050000,74926,坡道平面,32.7,0,Missing,RPSNMLQJMHPFFIF66CA
